album,artist,year,sales_millions,solo,sales,language,years_since_release,decade,feud,born_yet,TRUE,FALSE
Speakerboxx/The Love Below,Outkast,2003,11.4,FALSE,11400000,English,16,00s,FALSE,TRUE,TRUE,FALSE
Life After Death,The Notorious B.I.G.,1997,10.2,TRUE,10200000,English,22,90s,TRUE,TRUE,TRUE,FALSE
All Eyez on Me,2Pac,1996,9,TRUE,9000000,English,23,90s,TRUE,TRUE,TRUE,FALSE
Licensed to Ill,Beastie Boys,1986,9,FALSE,9000000,English,33,80s,FALSE,FALSE,TRUE,FALSE
Stankonia,Outkast,2000,4,FALSE,4000000,English,19,00s,FALSE,TRUE,TRUE,FALSE
Ready to Die,The Notorious B.I.G.,1994,4,TRUE,4000000,English,25,90s,TRUE,TRUE,TRUE,FALSE
R U Still Down? Remember Me,2Pac,1997,4,TRUE,4000000,English,22,90s,TRUE,TRUE,TRUE,FALSE
Ill Communication,Beastie Boys,1994,3,FALSE,3000000,English,25,90s,FALSE,TRUE,TRUE,FALSE
